sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_name
0.28873239436619724,0.2404580152671756,0.5394524959742351,0.23191489361702125,versicolor
0.3732394366197184,0.2595419847328244,0.4766505636070853,0.2702127659574468,versicolor
0.4694835680751173,0.4274809160305343,0.5185185185185185,0.3191489361702127,versicolor
0.27699530516431936,0.6221374045801527,0.08856682769726247,0.0425531914893617,setosa
0.3098591549295775,0.5076335877862594,0.09500805152979067,0.08085106382978723,setosa
0.3004694835680751,0.66793893129771,0.06763285024154587,0.04042553191489361,setosa
0.33098591549295775,0.12977099236641224,0.537842190016103,0.28936170212765955,versicolor
0.4577464788732394,0.38549618320610685,0.5652173913043478,0.3191489361702127,versicolor
0.10798122065727697,0.5763358778625954,0.07729468599033815,0.03829787234042553,setosa
0.47183098591549305,0.2862595419847329,0.6022544283413848,0.3021276595744681,versicolor
0.8497652582159624,0.3816793893129772,0.8132045088566827,0.40638297872340423,virginica
0.335680751173709,0.8740458015267175,0.06602254428341382,0.04680851063829788,setosa
0.11737089201877933,0.6603053435114504,0.008051529790660232,0.036170212765957444,setosa
0.6901408450704225,0.4389312977099237,0.79549114331723,0.4936170212765958,virginica
0.3286384976525822,0.3778625954198473,0.5362318840579708,0.26170212765957446,versicolor
0.6267605633802815,0.4427480916030534,0.6199677938808373,0.3829787234042553,virginica
0.47183098591549305,0.5114503816793893,0.47826086956521735,0.2978723404255319,versicolor
0.31455399061032874,0.35114503816793896,0.5458937198067633,0.2531914893617021,versicolor
0.4624413145539907,0.48854961832061067,0.5040257648953301,0.24893617021276593,versicolor
0.443661971830986,0.32442748091603046,0.6972624798711754,0.3829787234042553,virginica
0.6220657276995305,0.3435114503816794,0.7632850241545893,0.3851063829787234,virginica
0.0845070422535212,0.6450381679389313,0.1014492753623188,0.05106382978723404,setosa
0.31455399061032874,0.1030534351145039,0.5169082125603864,0.2765957446808511,versicolor
0.40610328638497656,0.2900763358778626,0.5120772946859903,0.2127659574468085,versicolor
0.4319248826291081,0.30916030534351135,0.5233494363929145,0.2723404255319149,versicolor
0.5234741784037559,0.4389312977099237,0.6698872785829307,0.35957446808510635,virginica
0.33802816901408456,0.7251908396946565,0.10305958132045086,0.0723404255319149,setosa
0.5187793427230046,0.38549618320610685,0.6602254428341383,0.3723404255319149,virginica
0.38732394366197187,0.3778625954198473,0.5861513687600644,0.2978723404255319,versicolor
0.4272300469483568,0.6297709923664122,0.7439613526570046,0.4553191489361702,virginica
0.6455399061032863,0.5038167938931297,0.7729468599033816,0.4319148936170213,virginica
0.2558685446009391,0.5305343511450381,0.08373590982286634,0.061702127659574474,setosa
0.19014084507042261,0.5916030534351145,0.03542673107890498,0.06808510638297872,setosa
0.5492957746478874,0.4961832061068702,0.5700483091787438,0.31063829787234043,versicolor
0.24178403755868547,0.32442748091603046,0.5136876006441223,0.25957446808510637,versicolor
0.03755868544600942,0.3740458015267176,0.0,0.01702127659574468,setosa
0.443661971830986,0.17557251908396954,0.6247987117552335,0.29148936170212764,versicolor
0.06807511737089202,0.5267175572519084,0.07246376811594202,0.04468085106382979,setosa
0.5446009389671361,0.31297709923664124,0.8293075684380031,0.4340425531914894,virginica
0.6455399061032863,0.46183206106870234,0.8421900161030595,0.5510638297872341,virginica
0.5375586854460093,0.32824427480916035,0.650563607085346,0.3936170212765957,virginica
0.19718309859154945,0.6564885496183206,0.09500805152979067,0.05319148936170213,setosa
0.6009389671361502,0.4045801526717556,0.6360708534621576,0.3191489361702127,versicolor
0.3169014084507043,0.6832061068702291,0.03542673107890498,0.04042553191489361,setosa
0.21126760563380287,0.038167938931297656,0.4138486312399355,0.20851063829787234,versicolor
0.5446009389671361,0.25190839694656486,0.6666666666666666,0.33829787234042547,versicolor
0.34037558685446007,0.32824427480916035,0.5732689210950079,0.26595744680851063,versicolor
0.41784037558685444,0.4427480916030534,0.027375201288244753,0.027659574468085105,setosa
0.24882629107981227,0.5687022900763359,0.11916264090177132,0.04680851063829788,setosa
0.692488262910798,0.4694656488549619,0.6972624798711754,0.4893617021276596,virginica
0.24882629107981227,0.5458015267175572,0.08212560386473429,0.05531914893617021,setosa
0.4530516431924883,0.4809160305343511,0.6344605475040257,0.3170212765957447,versicolor
0.687793427230047,0.5648854961832062,0.893719806763285,0.5319148936170213,virginica
0.20187793427230052,0.7061068702290075,0.09983896940418677,0.05531914893617021,setosa
0.6455399061032863,0.4809160305343511,0.756843800322061,0.5,virginica
0.5821596244131455,0.27862595419847336,0.6312399355877617,0.33191489361702126,versicolor
0.6901408450704225,0.4389312977099237,0.6666666666666666,0.4212765957446808,virginica
0.6079812206572771,0.5458015267175572,0.8260869565217391,0.5085106382978724,virginica
0.5985915492957747,0.6030534351145037,0.8132045088566827,0.5595744680851065,virginica
